"GEOID","NAME","Total","H_Total","majority","hispanic","group"
"06037291130","Census Tract 2911.30, Los Angeles County, California",3626,2423,"H_Other",1,"3001-4500"
"06037292000","Census Tract 2920, Los Angeles County, California",6567,3639,"H_Other",1,"6001-7500"
"06037293201","Census Tract 2932.01, Los Angeles County, California",6289,3355,"H_Other",1,"6001-7500"
"06037293202","Census Tract 2932.02, Los Angeles County, California",6740,4764,"H_Other",1,"6001-7500"
"06037293304","Census Tract 2933.04, Los Angeles County, California",4832,3289,"H_Other",1,"4501-6000"
"06037293307","Census Tract 2933.07, Los Angeles County, California",2284,1384,"H_Other",1,"1500-3000"
"06037294302","Census Tract 2943.02, Los Angeles County, California",4382,3771,"H_Other",1,"3001-4500"
"06037296220","Census Tract 2962.20, Los Angeles County, California",4447,2902,"H_Other",1,"3001-4500"
"06037296600","Census Tract 2966, Los Angeles County, California",5358,4045,"H_Other",1,"4501-6000"
"06037296901","Census Tract 2969.01, Los Angeles County, California",4466,2858,"H_Other",1,"3001-4500"
"06037296902","Census Tract 2969.02, Los Angeles County, California",4219,2515,"H_Other",1,"3001-4500"
"06037297120","Census Tract 2971.20, Los Angeles County, California",3053,2072,"H_Other",1,"3001-4500"
"06037402101","Census Tract 4021.01, Los Angeles County, California",5558,4387,"H_Other",1,"4501-6000"
"06037402304","Census Tract 4023.04, Los Angeles County, California",4057,3596,"H_Other",1,"3001-4500"
"06037402402","Census Tract 4024.02, Los Angeles County, California",6635,4499,"H_Other",1,"6001-7500"
"06037402403","Census Tract 4024.03, Los Angeles County, California",5231,3056,"H_Other",1,"4501-6000"
"06037402406","Census Tract 4024.06, Los Angeles County, California",5329,4537,"H_Other",1,"4501-6000"
"06037402703","Census Tract 4027.03, Los Angeles County, California",4661,3120,"H_Other",1,"4501-6000"
"06037402705","Census Tract 4027.05, Los Angeles County, California",3254,2385,"H_Other",1,"3001-4500"
"06037402804","Census Tract 4028.04, Los Angeles County, California",4238,3489,"H_Other",1,"3001-4500"
"06037404302","Census Tract 4043.02, Los Angeles County, California",2176,1608,"H_Other",1,"1500-3000"
"06037404501","Census Tract 4045.01, Los Angeles County, California",2789,2381,"H_Other",1,"1500-3000"
"06037405002","Census Tract 4050.02, Los Angeles County, California",3169,2580,"H_Other",1,"3001-4500"
"06037405101","Census Tract 4051.01, Los Angeles County, California",5617,4272,"H_Other",1,"4501-6000"
"06037405203","Census Tract 4052.03, Los Angeles County, California",3638,2510,"H_Other",1,"3001-4500"
"06037405301","Census Tract 4053.01, Los Angeles County, California",3469,2356,"H_Other",1,"3001-4500"
"06037405302","Census Tract 4053.02, Los Angeles County, California",5433,3679,"H_Other",1,"4501-6000"
"06037406411","Census Tract 4064.11, Los Angeles County, California",2002,1150,"H_Other",1,"1500-3000"
"06037406500","Census Tract 4065, Los Angeles County, California",6655,3830,"H_Other",1,"6001-7500"
"06037406602","Census Tract 4066.02, Los Angeles County, California",5198,3415,"H_Other",1,"4501-6000"
"06037406701","Census Tract 4067.01, Los Angeles County, California",3082,1806,"H_Other",1,"3001-4500"
"06037406702","Census Tract 4067.02, Los Angeles County, California",6375,3650,"H_Other",1,"6001-7500"
"06037406800","Census Tract 4068, Los Angeles County, California",4866,2808,"H_Other",1,"4501-6000"
"06037407001","Census Tract 4070.01, Los Angeles County, California",6284,5783,"H_Other",1,"6001-7500"
